worker_id,worker_name,platform,city,delivery_type,age_group,experience_months,weekly_avg_earnings,subscription_status,risk_score,disruption_type,disruption_date,disruption_intensity,income_loss_percentage,claim_amount,claim_status,claim_approved_amount,days_worked_weekly,avg_delivery_distance_km,vehicle_type,zone_id,weather_condition,pollution_index,gps_accuracy_percent,claim_fraud_indicator,approval_date,payout_date,customer_rating,total_claims,premium_weekly,zone_safety_score
W0052,Priya Patel,Zomato,Mumbai,Food Delivery,45-55,39,5431,suspended,32,Curfew Alert,2026-03-29,High,28,1520.68,rejected,0,7,2.3,Bicycle,Z006,Cloudy,Severe,97.9,false,2026-03-31,,5.0,0,161,77
W0053,Nikita Das,Zomato,Chennai,Food Delivery,20-25,11,7138,suspended,34,Heavy Downpour,2026-03-09,High,35,2498.3,rejected,0,7,3.4,Three-wheeler,Z065,Very Hazy,Very High,97.3,false,2026-03-11,,4.1,5,183,78
W0054,Divya Verma,Zomato,Chennai,Food Delivery,45-55,27,11278,inactive,42,Pollution Spike,2026-03-07,High,38,4285.64,approved,4285.64,5,2.8,Two-wheeler,Z088,Very Hot,Low,97.3,false,2026-03-08,2026-03-09,4.1,0,195,73
W0055,Deepika Patel,Zomato,Hyderabad,Food Delivery,20-25,32,7396,suspended,60,App Crash,2026-03-28,Low,12,887.52,pending,0,5,2.7,Bicycle,Z065,Clear,Medium,98.9,false,2026-03-30,,4.8,2,171,61
W0056,Divya Sharma,Zomato,Kolkata,Food Delivery,20-25,44,9888,suspended,38,Extreme Rain,2026-03-12,High,34,3361.92,approved,3361.92,5,1.5,Two-wheeler,Z073,Cloudy,Very High,97.2,false,2026-03-13,2026-03-14,4.6,0,111,73
W0057,Kavya Verma,Zomato,Chennai,Food Delivery,35-45,16,7531,inactive,53,Heavy Pollution,2026-04-06,Low,8,602.48,approved,602.48,4,4.1,Two-wheeler,Z087,Rainy,High,98.3,false,2026-04-07,2026-04-08,4.5,3,153,58
W0058,Isha Nair,Zomato,Delhi,Food Delivery,20-25,24,10055,suspended,48,Curfew Alert,2026-04-03,High,26,2614.3,approved,2614.3,6,4.9,Two-wheeler,Z001,Clear,High,99.7,true,2026-04-04,2026-04-05,4.1,2,137,60
W0059,Divya Kumar,Zomato,Pune,Food Delivery,25-35,14,7614,suspended,52,Extreme Heat,2026-04-02,High,27,2055.78,rejected,0,3,3.0,Three-wheeler,Z010,Stormy,High,98.7,false,2026-04-04,,4.4,5,153,59
W0060,Divya Das,Zomato,Delhi,Food Delivery,45-55,59,10149,inactive,32,Pollution Spike,2026-03-07,Medium,21,2131.29,pending,0,6,3.3,Three-wheeler,Z040,Cloudy,High,97.6,true,2026-03-09,,4.2,4,181,53
W0061,Kavya Nair,Zomato,Kolkata,Food Delivery,35-45,52,11208,suspended,56,Flooding,2026-03-16,Low,10,1120.8,approved,1120.8,4,2.1,Two-wheeler,Z098,Stormy,Low,97.5,true,2026-03-17,2026-03-18,4.6,3,196,68
W0062,Isha Gupta,Zomato,Kolkata,Food Delivery,25-35,34,5059,inactive,44,Market Closure,2026-03-20,High,26,1315.34,approved,1315.34,7,1.8,Three-wheeler,Z058,Rainy,Low,98.1,false,2026-03-21,2026-03-22,4.1,0,178,69
W0063,Rohan Das,Zomato,Hyderabad,Food Delivery,45-55,57,9183,suspended,36,Heavy Pollution,2026-04-08,Very High,48,4407.84,approved,4407.84,3,3.1,Three-wheeler,Z092,Rainy,Severe,98.9,false,2026-04-09,2026-04-10,4.2,3,156,66
W0064,Kavya Desai,Zomato,Delhi,Food Delivery,35-45,30,7848,inactive,51,Street Strike,2026-03-04,High,27,2118.96,approved,2118.96,3,3.5,Three-wheeler,Z037,Hazy,Severe,99.5,false,2026-03-05,2026-03-06,4.1,5,118,79
W0065,Sanjay Sharma,Zomato,Bangalore,Food Delivery,35-45,41,7585,suspended,55,Heavy Pollution,2026-03-09,Low,14,1061.9,pending,0,5,1.6,Three-wheeler,Z024,Clear,High,99.7,false,2026-03-11,,4.2,1,119,52
W0066,Nikhil Singh,Zomato,Pune,Food Delivery,25-35,44,7586,active,35,Flooding Event,2026-04-14,Medium,22,1668.92,approved,1668.92,6,2.8,Bicycle,Z031,Very Hot,Severe,97.8,true,2026-04-15,2026-04-16,4.8,1,168,57
W0067,Anjali Gupta,Zomato,Delhi,Food Delivery,45-55,55,6808,inactive,46,Curfew Lockdown,2026-03-27,Medium,18,1225.44,pending,0,4,4.6,Two-wheeler,Z083,Very Hot,High,98.6,false,2026-03-29,,4.7,4,115,59
W0068,Ananya Patel,Zomato,Chennai,Food Delivery,45-55,11,11958,active,56,Pollution Event,2026-03-23,Low,14,1674.12,approved,1674.12,6,3.3,Two-wheeler,Z050,Rainy,High,97.7,false,2026-03-24,2026-03-25,4.9,5,183,60
W0069,Kavya Patel,Zomato,Delhi,Food Delivery,25-35,54,10279,inactive,44,Street Strike,2026-03-01,Low,8,822.32,approved,822.32,4,4.4,Bicycle,Z094,Very Hazy,Severe,98.2,true,2026-03-02,2026-03-03,4.3,2,115,51
W0070,Riya Das,Zomato,Mumbai,Food Delivery,45-55,44,8891,active,50,Curfew Lockdown,2026-04-06,Medium,17,1511.47,approved,1511.47,6,1.5,Three-wheeler,Z031,Very Hazy,Very High,97.5,false,2026-04-07,2026-04-08,4.1,2,108,80
W0071,Kavya Nair,Zomato,Chennai,Food Delivery,20-25,46,7669,inactive,38,Zone Lockdown,2026-03-02,High,27,2070.63,approved,2070.63,4,4.1,Bicycle,Z014,Stormy,Severe,99.1,false,2026-03-03,2026-03-04,4.1,2,169,60
W0072,Sakshi Gupta,Zomato,Pune,Food Delivery,25-35,10,10365,inactive,31,Heat Wave,2026-03-13,Low,11,1140.15,approved,1140.15,5,4.8,Bicycle,Z051,Stormy,Severe,98.4,false,2026-03-14,2026-03-15,4.8,1,136,61
W0073,Neha Rao,Zomato,Mumbai,Food Delivery,45-55,31,10589,inactive,58,Pollution Crisis,2026-03-22,Medium,22,2329.58,rejected,0,5,4.7,Bicycle,Z035,Stormy,Low,99.1,false,2026-03-24,,4.4,1,169,59
W0074,Karthik Singh,Zomato,Delhi,Food Delivery,35-45,34,9436,suspended,43,Flooding Event,2026-04-14,Very High,45,4246.2,rejected,0,3,4.0,Three-wheeler,Z079,Very Hot,High,98.9,false,2026-04-16,,4.1,5,151,61
W0075,Rohan Patel,Zomato,Bangalore,Food Delivery,20-25,14,5050,active,54,Market Closure,2026-03-24,High,37,1868.5,pending,0,3,3.6,Bicycle,Z058,Hazy,High,98.3,false,2026-03-26,,4.6,4,146,62
W0076,Karthik Sharma,Zomato,Mumbai,Food Delivery,25-35,37,8741,inactive,59,Curfew Enforcement,2026-03-08,High,33,2884.53,rejected,0,4,5.0,Three-wheeler,Z089,Very Hot,Medium,97.4,false,2026-03-10,,4.5,5,156,52
W0077,Karthik Rao,Zomato,Hyderabad,Food Delivery,35-45,60,5790,suspended,52,Severe Weather,2026-04-14,Medium,20,1158.0,pending,0,4,1.9,Two-wheeler,Z018,Clear,Very High,97.1,false,2026-04-16,,4.6,3,170,54
W0078,Richa Singh,Zomato,Delhi,Food Delivery,45-55,39,7865,inactive,56,Street Closure,2026-03-05,Medium,20,1573.0,approved,1573.0,6,3.1,Bicycle,Z045,Clear,Severe,98.9,false,2026-03-06,2026-03-07,4.8,1,155,66
W0079,Neha Singh,Zomato,Delhi,Food Delivery,25-35,26,10310,active,41,Curfew Lockdown,2026-03-19,Low,12,1237.2,approved,1237.2,7,2.5,Bicycle,Z039,Very Hazy,Severe,97.3,false,2026-03-20,2026-03-21,4.2,4,119,55
W0080,Richa Desai,Zomato,Kolkata,Food Delivery,20-25,11,4872,suspended,54,Street Closure,2026-03-17,Medium,24,1169.28,rejected,0,7,3.7,Three-wheeler,Z081,Very Hazy,High,98.9,false,2026-03-19,,4.5,5,151,59
W0081,Priyanka Singh,Zomato,Bangalore,Food Delivery,45-55,36,8304,active,40,Street Strike,2026-03-10,High,35,2906.4,approved,2906.4,6,2.0,Three-wheeler,Z066,Very Hazy,Low,97.9,false,2026-03-11,2026-03-12,4.1,3,131,54
W0082,Sandeep Kumar,Zomato,Chennai,Food Delivery,25-35,16,11164,inactive,59,Street Closure,2026-03-21,Medium,17,1897.88,rejected,0,7,3.1,Three-wheeler,Z064,Rainy,Low,99.7,false,2026-03-23,,4.5,1,127,68
W0083,Sanjay Kumar,Zomato,Delhi,Food Delivery,45-55,24,8896,active,57,Severe Waterlogging,2026-03-28,Medium,19,1690.24,approved,1690.24,6,2.8,Three-wheeler,Z007,Very Hazy,Severe,97.6,false,2026-03-29,2026-03-30,4.3,3,164,64
W0084,Divya Sharma,Zomato,Bangalore,Food Delivery,45-55,29,11011,inactive,47,Severe Pollution,2026-03-10,Medium,24,2642.64,pending,0,6,3.3,Two-wheeler,Z005,Clear,High,99.3,false,2026-03-12,,4.5,4,165,54
W0085,Karthik Desai,Zomato,Bangalore,Food Delivery,35-45,43,7255,suspended,56,Curfew Lockdown,2026-04-04,Very High,49,3554.95,approved,3554.95,6,4.4,Three-wheeler,Z043,Cloudy,Low,99.8,false,2026-04-05,2026-04-06,4.3,5,188,70
W0086,Priya Desai,Zomato,Delhi,Food Delivery,20-25,43,8435,active,46,Market Closure,2026-04-09,Very High,42,3542.7,approved,3542.7,3,3.5,Bicycle,Z015,Clear,Low,98.3,false,2026-04-10,2026-04-11,4.2,5,126,63
W0087,Rohan Desai,Zomato,Kolkata,Food Delivery,25-35,39,6198,suspended,40,Market Strike,2026-03-31,Very High,45,2789.1,approved,2789.1,6,4.7,Three-wheeler,Z070,Hazy,High,98.8,false,2026-04-01,2026-04-02,5.0,2,171,59
W0088,Vishal Sharma,Zomato,Pune,Food Delivery,45-55,26,8430,inactive,47,Severe Weather,2026-03-18,High,28,2360.4,pending,0,7,2.8,Three-wheeler,Z045,Stormy,Medium,97.8,false,2026-03-20,,5.0,0,144,79
W0089,Vinod Sharma,Zomato,Bangalore,Food Delivery,35-45,41,10203,inactive,34,Severe Waterlogging,2026-04-09,Medium,18,1836.54,approved,1836.54,7,2.3,Two-wheeler,Z007,Rainy,Very High,98.0,false,2026-04-10,2026-04-11,4.1,1,100,80
W0090,Divya Patel,Zomato,Pune,Food Delivery,45-55,47,6133,inactive,40,Heat Wave,2026-04-11,Low,9,551.97,pending,0,4,3.4,Bicycle,Z005,Clear,Very High,99.6,false,2026-04-13,,4.9,0,150,75
W0091,Anita Patel,Zomato,Mumbai,Food Delivery,35-45,42,9437,active,59,Heavy Pollution,2026-03-19,Very High,50,4718.5,pending,0,7,3.2,Two-wheeler,Z065,Very Hot,High,97.6,false,2026-03-21,,4.3,5,158,70
W0092,Harsh Patel,Zomato,Pune,Food Delivery,35-45,42,10024,active,35,Street Strike,2026-04-10,Very High,46,4611.04,pending,0,5,1.8,Bicycle,Z013,Clear,Medium,98.4,false,2026-04-12,,4.0,3,130,64
W0093,Pooja Rao,Zomato,Hyderabad,Food Delivery,35-45,47,7445,suspended,37,Heavy Rain,2026-04-12,Low,15,1116.75,approved,1116.75,4,2.9,Bicycle,Z091,Stormy,High,99.0,false,2026-04-13,2026-04-14,4.9,2,147,69
W0094,Vishal Verma,Zomato,Chennai,Food Delivery,45-55,53,9462,inactive,43,Local Strike,2026-04-05,Very High,48,4541.76,approved,4541.76,4,3.9,Bicycle,Z011,Very Hazy,Very High,98.5,false,2026-04-06,2026-04-07,4.1,4,114,51
W0095,Divya Nair,Zomato,Hyderabad,Food Delivery,25-35,26,11499,suspended,44,Severe Waterlogging,2026-04-13,Medium,24,2759.76,rejected,0,3,4.6,Three-wheeler,Z008,Very Hot,Medium,98.5,false,2026-04-15,,4.6,4,159,71
W0096,Anjali Kumar,Zomato,Delhi,Food Delivery,25-35,43,5098,active,43,Severe Pollution,2026-04-14,Low,8,407.84,approved,407.84,6,1.6,Three-wheeler,Z024,Stormy,Medium,99.2,false,2026-04-15,2026-04-16,4.6,3,147,78
W0097,Rahul Gupta,Zomato,Chennai,Food Delivery,25-35,47,11547,inactive,33,Flooding Event,2026-04-04,Very High,48,5542.56,approved,5542.56,4,4.4,Two-wheeler,Z039,Very Hot,Severe,98.2,false,2026-04-05,2026-04-06,4.8,1,158,61
W0098,Kavya Sharma,Zomato,Pune,Food Delivery,20-25,57,9908,inactive,49,App Crash,2026-03-02,Medium,18,1783.44,approved,1783.44,3,3.6,Three-wheeler,Z077,Cloudy,Low,97.7,false,2026-03-03,2026-03-04,4.4,1,169,56
W0099,Neha Patel,Zomato,Bangalore,Food Delivery,35-45,21,6972,active,51,Curfew Lockdown,2026-03-15,Very High,44,3067.68,approved,3067.68,3,3.4,Bicycle,Z095,Clear,Very High,98.6,false,2026-03-16,2026-03-17,5.0,5,185,62
W0100,Kavya Rao,Zomato,Chennai,Food Delivery,35-45,30,6006,suspended,45,Extreme Heat,2026-03-15,High,29,1741.74,rejected,0,3,3.5,Three-wheeler,Z072,Very Hazy,Medium,98.1,false,2026-03-17,,4.2,5,110,79
W0101,Vinod Rao,Zomato,Hyderabad,Food Delivery,20-25,23,7589,suspended,49,Street Strike,2026-03-03,Low,11,834.79,pending,0,7,2.3,Two-wheeler,Z043,Hazy,Low,97.6,false,2026-03-05,,5.0,0,195,74
W0102,Manish Verma,Zomato,Chennai,Food Delivery,35-45,55,6818,inactive,44,Curfew Enforcement,2026-04-11,High,34,2318.12,approved,2318.12,5,3.3,Three-wheeler,Z060,Rainy,Very High,99.2,false,2026-04-12,2026-04-13,4.9,2,140,63
W0103,Amit Desai,Zomato,Pune,Food Delivery,20-25,22,9032,suspended,48,Zone Lockdown,2026-03-27,High,29,2619.28,approved,2619.28,5,2.3,Bicycle,Z032,Very Hot,Severe,98.9,false,2026-03-28,2026-03-29,4.3,3,192,70
W0104,Anita Gupta,Zomato,Pune,Food Delivery,25-35,14,10400,suspended,45,Flooding Event,2026-04-04,Low,8,832.0,approved,832.0,3,4.2,Three-wheeler,Z018,Stormy,Medium,97.2,false,2026-04-05,2026-04-06,4.0,4,158,61
W0105,Neha Desai,Zomato,Pune,Food Delivery,20-25,6,8859,suspended,43,Extreme Rain,2026-03-02,High,34,3012.06,approved,3012.06,7,4.3,Bicycle,Z056,Stormy,Medium,97.3,false,2026-03-03,2026-03-04,4.5,1,124,69
